name,Year,Series,Value,Source
Burundi,2020,Population mid-year estimates (millions),12.22,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Burundi,2020,Population mid-year estimates for males (millions),6.07,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Burundi,2020,Population mid-year estimates for females (millions),6.15,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Burundi,2020,Sex ratio (males per 100 females),98.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Burundi,2020,Population aged 0 to 14 years old (percentage),46.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Burundi,2020,Population aged 60+ years old (percentage),3.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Burundi,2020,Population density,470.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Burundi,2020,Surface area (thousand km2),28,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Burundi,2022,Population mid-year estimates (millions),12.89,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Burundi,2022,Population mid-year estimates for males (millions),6.40,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Burundi,2022,Population mid-year estimates for females (millions),6.49,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Burundi,2022,Sex ratio (males per 100 females),98.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Burundi,2022,Population aged 0 to 14 years old (percentage),45.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Burundi,2022,Population aged 60+ years old (percentage),3.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Burundi,2022,Population density,496.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2010,Population mid-year estimates (millions),0.52,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2010,Population mid-year estimates for males (millions),0.26,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2010,Population mid-year estimates for females (millions),0.26,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2010,Sex ratio (males per 100 females),99.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cabo Verde,2010,Population aged 0 to 14 years old (percentage),32.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cabo Verde,2010,Population aged 60+ years old (percentage),7.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cabo Verde,2010,Population density,129.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2015,Population mid-year estimates (millions),0.55,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2015,Population mid-year estimates for males (millions),0.27,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2015,Population mid-year estimates for females (millions),0.28,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2015,Sex ratio (males per 100 females),99.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cabo Verde,2015,Population aged 0 to 14 years old (percentage),29.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cabo Verde,2015,Population aged 60+ years old (percentage),7.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cabo Verde,2015,Population density,137.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2015,Surface area (thousand km2),4,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Cabo Verde,2020,Population mid-year estimates (millions),0.58,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2020,Population mid-year estimates for males (millions),0.29,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2020,Population mid-year estimates for females (millions),0.29,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2020,Sex ratio (males per 100 females),98.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cabo Verde,2020,Population aged 0 to 14 years old (percentage),27.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cabo Verde,2020,Population aged 60+ years old (percentage),8.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cabo Verde,2020,Population density,144.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2020,Surface area (thousand km2),4,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Cabo Verde,2022,Population mid-year estimates (millions),0.59,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2022,Population mid-year estimates for males (millions),0.29,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2022,Population mid-year estimates for females (millions),0.30,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cabo Verde,2022,Sex ratio (males per 100 females),98.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cabo Verde,2022,Population aged 0 to 14 years old (percentage),26.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cabo Verde,2022,Population aged 60+ years old (percentage),8.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cabo Verde,2022,Population density,147.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2010,Population mid-year estimates (millions),14.36,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2010,Population mid-year estimates for males (millions),7.10,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2010,Population mid-year estimates for females (millions),7.26,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2010,Sex ratio (males per 100 females),97.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cambodia,2010,Population aged 0 to 14 years old (percentage),32.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cambodia,2010,Population aged 60+ years old (percentage),5.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cambodia,2010,Population density,79.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2015,Population mid-year estimates (millions),15.42,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2015,Population mid-year estimates for males (millions),7.63,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2015,Population mid-year estimates for females (millions),7.79,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2015,Sex ratio (males per 100 females),98.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cambodia,2015,Population aged 0 to 14 years old (percentage),30.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cambodia,2015,Population aged 60+ years old (percentage),7.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cambodia,2015,Population density,85.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2015,Surface area (thousand km2),181,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Cambodia,2020,Population mid-year estimates (millions),16.40,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2020,Population mid-year estimates for males (millions),8.12,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2020,Population mid-year estimates for females (millions),8.28,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2020,Sex ratio (males per 100 females),98.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cambodia,2020,Population aged 0 to 14 years old (percentage),29.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cambodia,2020,Population aged 60+ years old (percentage),8.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cambodia,2020,Population density,90.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2020,Surface area (thousand km2),181,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Cambodia,2022,Population mid-year estimates (millions),16.77,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2022,Population mid-year estimates for males (millions),8.30,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2022,Population mid-year estimates for females (millions),8.47,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cambodia,2022,Sex ratio (males per 100 females),98.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cambodia,2022,Population aged 0 to 14 years old (percentage),28.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cambodia,2022,Population aged 60+ years old (percentage),9.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cambodia,2022,Population density,92.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2010,Population mid-year estimates (millions),19.88,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2010,Population mid-year estimates for males (millions),9.89,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2010,Population mid-year estimates for females (millions),9.99,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2010,Sex ratio (males per 100 females),99.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cameroon,2010,Population aged 0 to 14 years old (percentage),43.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cameroon,2010,Population aged 60+ years old (percentage),4.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cameroon,2010,Population density,42.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2015,Population mid-year estimates (millions),23.01,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2015,Population mid-year estimates for males (millions),11.46,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2015,Population mid-year estimates for females (millions),11.55,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2015,Sex ratio (males per 100 females),99.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cameroon,2015,Population aged 0 to 14 years old (percentage),43.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cameroon,2015,Population aged 60+ years old (percentage),4.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cameroon,2015,Population density,49.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2015,Surface area (thousand km2),476,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Cameroon,2020,Population mid-year estimates (millions),26.49,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2020,Population mid-year estimates for males (millions),13.21,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2020,Population mid-year estimates for females (millions),13.28,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2020,Sex ratio (males per 100 females),99.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cameroon,2020,Population aged 0 to 14 years old (percentage),42.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cameroon,2020,Population aged 60+ years old (percentage),4.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cameroon,2020,Population density,56.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2020,Surface area (thousand km2),476,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Cameroon,2022,Population mid-year estimates (millions),27.91,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2022,Population mid-year estimates for males (millions),13.92,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2022,Population mid-year estimates for females (millions),13.99,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cameroon,2022,Sex ratio (males per 100 females),99.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cameroon,2022,Population aged 0 to 14 years old (percentage),42.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cameroon,2022,Population aged 60+ years old (percentage),4.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cameroon,2022,Population density,59.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2010,Population mid-year estimates (millions),33.96,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2010,Population mid-year estimates for males (millions),16.83,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2010,Population mid-year estimates for females (millions),17.13,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2010,Sex ratio (males per 100 females),98.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Canada,2010,Population aged 0 to 14 years old (percentage),16.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Canada,2010,Population aged 60+ years old (percentage),19.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Canada,2010,Population density,3.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2015,Population mid-year estimates (millions),35.73,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2015,Population mid-year estimates for males (millions),17.73,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2015,Population mid-year estimates for females (millions),18.00,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2015,Sex ratio (males per 100 females),98.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Canada,2015,Population aged 0 to 14 years old (percentage),16.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Canada,2015,Population aged 60+ years old (percentage),22.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Canada,2015,Population density,3.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2015,Surface area (thousand km2),"9,985","United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Canada,2020,Population mid-year estimates (millions),37.89,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2020,Population mid-year estimates for males (millions),18.83,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2020,Population mid-year estimates for females (millions),19.06,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2020,Sex ratio (males per 100 females),98.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Canada,2020,Population aged 0 to 14 years old (percentage),15.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Canada,2020,Population aged 60+ years old (percentage),24.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Canada,2020,Population density,4.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2020,Surface area (thousand km2),"9,985","United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Canada,2022,Population mid-year estimates (millions),38.45,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2022,Population mid-year estimates for males (millions),19.11,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2022,Population mid-year estimates for females (millions),19.34,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Canada,2022,Sex ratio (males per 100 females),98.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Canada,2022,Population aged 0 to 14 years old (percentage),15.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Canada,2022,Population aged 60+ years old (percentage),25.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Canada,2022,Population density,4.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cayman Islands,2010,Population mid-year estimates (millions),0.05,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cayman Islands,2010,Population mid-year estimates for males (millions),0.03,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cayman Islands,2010,Population mid-year estimates for females (millions),0.03,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cayman Islands,2010,Sex ratio (males per 100 females),98.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cayman Islands,2010,Population aged 0 to 14 years old (percentage),18.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cayman Islands,2010,Population aged 60+ years old (percentage),8.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cayman Islands,2010,Population density,224.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cayman Islands,2015,Population mid-year estimates (millions),0.06,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cayman Islands,2015,Population mid-year estimates for males (millions),0.03,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cayman Islands,2015,Population mid-year estimates for females (millions),0.03,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cayman Islands,2015,Sex ratio (males per 100 females),100.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cayman Islands,2015,Population aged 0 to 14 years old (percentage),17.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cayman Islands,2015,Population aged 60+ years old (percentage),10.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Cayman Islands,2015,Population density,252.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cayman Islands,2015,Surface area (thousand km2),0,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Cayman Islands,2020,Population mid-year estimates (millions),0.07,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cayman Islands,2020,Population mid-year estimates for males (millions),0.03,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Cayman Islands,2020,Population mid-year estimates for females (millions),0.03,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
